1	Swansea 	40	12.5	321	54.0	82.2	19.7	6.72
2	Aston Villa 	53	14.5	511	53.4	79.6	23.5	6.78
3	Leeds 	50	15.9	543	59.7	79.5	21.3	6.82
4	Brentford 	48	14.6	502	55.8	79.1	16.3	6.73
5	Norwich 	57	14.3	570	54.6	78.5	17.6	6.81
6	West Bromwich Albion 	59	14.3	503	52.8	78.5	22.1	6.85
7	Stoke 	33	11.4	482	51.5	77.4	23.3	6.66
8	Derby 	40	13.6	591	53.6	77.2	19.9	6.68
9	Reading 	32	11.4	553	50.5	77.0	22.4	6.65
10	Sheffield United 	50	13	551	51.6	76.0	25	6.84
11	Nottingham Forest 	42	11.7	755	51.6	74.8	20.5	6.78
12	Sheffield Wednesday 	34	11.5	471	48.5	73.4	26.9	6.70
13	Bristol City 	37	13.1	371	50.9	72.0	28.7	6.81
14	Middlesbrough 	34	13.3	541	46.3	70.5	28	6.80
15	Wigan 	31	12.4	663	48.4	70.2	26.7	6.58
16	Preston 	45	13.1	474	50.6	70.1	31.9	6.74
17	Blackburn 	42	11.2	471	49.7	69.5	24.7	6.70
18	Queens Park Rangers 	35	13	540	45.6	68.9	28.6	6.71
19	Hull 	43	11.1	421	46.3	68.0	26.9	6.74
20	Ipswich 	23	8.8	453	49.6	66.8	29.8	6.52
21	Bolton 	19	9.7	612	43.5	66.5	33.3	6.60
22	Millwall 	34	12	461	45.4	63.3	33.4	6.64
23	Birmingham 	45	12.1	553	42.4	61.5	33.4	6.85
24	Rotherham 	28	13.3	452	43.8	60.9	33.3	6.67
