1	Swansea 	42	12.5	321	53.8	82.2	19.4	6.73
2	Leeds 	53	16.1	563	59.7	79.6	21.6	6.82
3	Aston Villa 	56	14.2	551	53.1	79.4	23.4	6.78
4	Brentford 	50	15	512	56.1	79.3	16.2	6.73
5	West Bromwich Albion 	62	14.2	543	52.9	78.7	21.8	6.84
6	Norwich 	61	14.4	630	54.5	78.3	18	6.81
7	Stoke 	33	11.4	522	51.5	77.6	23.1	6.66
8	Derby 	43	13.9	641	53.7	77.1	19.9	6.70
9	Reading 	34	11.4	563	50.2	76.8	22.4	6.67
10	Sheffield United 	54	13	601	51.5	75.9	25.4	6.84
11	Nottingham Forest 	46	11.5	795	50.7	74.1	20.1	6.78
12	Sheffield Wednesday 	34	11.7	501	48.9	73.3	27.2	6.71
13	Bristol City 	40	13.2	421	51.1	72.1	29.2	6.82
14	Preston 	50	13.1	504	50.6	70.2	31.7	6.76
15	Wigan 	32	12.1	703	48.4	70.1	26.9	6.59
16	Middlesbrough 	35	13.1	572	46.0	70.0	28	6.79
17	Blackburn 	43	11.3	491	49.8	69.8	24.4	6.69
18	Queens Park Rangers 	39	13.2	610	45.7	68.7	29.5	6.71
19	Hull 	45	10.9	431	46.5	68.2	26.9	6.73
20	Ipswich 	24	9.1	513	49.5	66.8	29.4	6.52
21	Bolton 	21	9.5	652	43.5	66.2	33.9	6.62
22	Millwall 	34	11.9	491	45.2	63.6	33.2	6.64
23	Birmingham 	49	12.2	573	42.9	61.8	34	6.84
24	Rotherham 	31	13.5	472	44.0	60.8	34.1	6.67
