1	Swansea 	45	13	341	54.8	83.2	18.7	6.71
2	Brentford 	60	15.3	572	56.6	79.8	15.8	6.74
3	Aston Villa 	68	13.8	671	53.5	79.5	23.1	6.80
4	Leeds 	63	15.9	654	59.4	79.2	21.4	6.84
5	Norwich 	77	14.7	680	55.0	78.8	17.6	6.85
6	West Bromwich Albion 	72	13.9	643	51.6	77.7	21.3	6.83
7	Derby 	46	13.5	771	53.6	76.9	19.6	6.65
8	Reading 	40	11.3	693	50.5	76.9	22.7	6.67
9	Stoke 	37	10.9	653	50.8	76.5	23.8	6.69
10	Sheffield United 	64	12.7	682	50.7	75.6	24.9	6.89
11	Nottingham Forest 	52	11.9	905	50.2	73.4	21.1	6.78
12	Sheffield Wednesday 	48	11.8	602	48.8	73.0	28.3	6.76
13	Bristol City 	45	12.8	561	51.0	71.8	30.7	6.79
14	Middlesbrough 	40	13.5	673	46.0	70.8	27.4	6.76
15	Preston 	58	13	575	51.0	70.1	32.3	6.79
16	Wigan 	41	12.4	813	48.7	70.0	27.2	6.59
17	Blackburn 	52	11.5	582	50.1	69.7	24.8	6.68
18	Queens Park Rangers 	45	13.1	741	46.1	69.0	29.9	6.69
19	Hull 	54	10.8	551	46.9	68.5	26.5	6.73
20	Ipswich 	30	9.9	614	49.3	67.1	28.9	6.54
21	Bolton 	26	9.8	714	43.2	66.1	33.3	6.60
22	Millwall 	41	11.8	631	45.2	63.9	33.8	6.65
23	Birmingham 	53	12.4	673	43.6	61.9	34.5	6.80
24	Rotherham 	40	13.4	603	43.9	61.1	34.2	6.67
